《广西剿匪之铁血茶城》黄韵寒栽赃沐剑晨特务 陈斯民逃走被击毙	http://www.iqiyi.com/v_19rs8ll1d0.html	360搜索	WEB	1:41		2019.07.10 09:56
《广西剿匪之铁血茶城》陈斯民投降暗怀鬼胎 沐剑晨布阵制止哗变	http://www.iqiyi.com/v_19rs8hw8n0.html	360搜索	WEB	1:42		2019.07.10 09:56
《广西剿匪之铁血茶城》爱国情怀燃爆6月	http://www.iqiyi.com/v_19rs7phl3k.html	360搜索	WEB	1:36		2019.07.10 09:56
《广西剿匪之铁血茶城》国防部特派员认姐 不明黑衣人救下龙芷文	http://www.iqiyi.com/v_19rs8n96ow.html	360搜索	WEB	1:22		2019.07.10 09:56
"铁血茶城:女护士一枪命中特务的心脏,排长怀疑她有问题"	https://tieba.baidu.com/p/6178811444?pid=126336373824&cid=0#126336373824	百度贴吧	WEB			2019.07.10 09:56
"铁血茶城:龙芷文不明白沐剑晨的反常,怎么可能变得这么狠毒?"	https://tieba.baidu.com/p/6182360476?pid=126390187258&cid=0#126390187258	百度贴吧	WEB			2019.07.10 09:56
铁血茶城	http://www.qire.in/guocanju/txcc/	奇热网	WEB			2019.07.10 09:56
"铁血茶城:特务任务失败后,要杀男子泄愤,男子趁其不备跳车逃走"	https://tieba.baidu.com/p/6176825144?pid=126306223057&cid=0#126306223057	百度贴吧	WEB			2019.07.10 09:56
"铁血茶城:沐剑晨为查原因,以身试毒"	https://tieba.baidu.com/p/6171667799?pid=126229039218&cid=0#126229039218	百度贴吧	WEB			2019.07.10 09:56
"铁血茶城:土匪想伏击解放军,没想到解放军早有准备,土匪中计了"	https://tieba.baidu.com/p/6172947302?pid=126248163073&cid=0#126248163073	百度贴吧	WEB			2019.07.10 09:55
铁血茶城	http://www.2426.net/guochan/txcc/	2426电影网(双视影院)	WEB			2019.07.10 09:55
铁血茶城/打土匪	http://www.qire.in/guocanju/txccdtf/	奇热网	WEB			2019.07.10 09:55
《铁血茶城》陈斯民中计去救沐剑晨要和他逃走	http://v.baidu.com/link?url=dm_00pw_klemzFaU2vO4w7zo2Cc1yuX_dCEHtgd-yB9KwhC-tqPQIQDpRyB6kzaBy9L163jnaVddG5dc2XusBm6XDn5awf-CExsPwsyLXQsVq&page=videoMultiNeed	百度视频	WEB	4:53		2019.07.10 09:55
铁血茶城电视剧全集大结局很幸福	http://v.baidu.com/link?url=dm_00pw_klemzFaU2vO4w7zo2Cc1yuX_dCEHtgd-yB9KwhC-tqPQIQDpRyB-ll7Uz-vclvXO5FPlZ85VhPZwXgvG8yOi7Q5zUwJTtqHjSWg..&page=videoMultiNeed	百度视频	WEB	5:27		2019.07.10 09:55
"铁血茶城:三个小伙上山巡查,不料山中空投落下挂在树上,这下乐坏了"	https://v.youku.com/v_show/id_XNDIxODM2OTY0MA==.html	百度搜索	WEB	0:41		2019.07.10 09:55
《铁血茶城》盘桂英报仇无望以枪相逼，阿仁趁机...	http://v.baidu.com/link?url=dm_00pw_klemzFaU2vO4w7zo2Cc1yuX_dCEHtgd-yB9KwhC-tqPQIQDpRyB6kzaBy9L163jnaVddG5dc2XtsdvqfcvYuuRd6BxNKWlSLXQsVq&page=videoMultiNeed	百度视频	WEB	5:50		2019.07.10 09:55
《铁血茶城》土匪开枪打伤沐剑晨，运粮队中埋伏	http://v.baidu.com/link?url=dm_00pw_klemzFaU2vO4w7zo2Cc1yuX_dCEHtgd-yB9KwhC-tqPQIQDpRyB6kzaBy9L163jnaVddG5dc2Xp49mPjhhZCWXfq8qZa7syLXQsVq&page=videoMultiNeed	百度视频	WEB	6:33		2019.07.10 09:55
《铁血茶城》八路军严阵以待收复国民党投降官兵	http://baidu.pptv.com/watch/3030189644787621579.html?page=videoMultiNeed	百度视频	WEB	0:59		2019.07.10 09:55
《铁血茶城》沐剑晨急救特务失败身份被怀疑	http://v.baidu.com/link?url=dm_00pw_klemzFaU2vO4w7zo2Cc1yuX_dCEHtgd-yB9KwhC-tqPQIQDpRyB6kzaBy9L163jnaVddG5dc2Xscyz6C9v6uWYc-qqv2v8X-RXtxrbA..&page=videoMultiNeed	百度视频	WEB	6:50		2019.07.10 09:55
《广西剿匪之铁血茶城》阿仁报仇惨死银殿山 黄韵寒设计一石三鸟	http://www.iqiyi.com/v_19rs8mh5ik.html	腾讯视频	WEB	0:1		2019.07.10 09:55
铁血茶城电视剧全集大结局很开心	http://v.baidu.com/link?url=dm_00pw_klemzFaU2vO4w7zo2Cc1yuX_dCEHtgd-yB9KwhC-tqPQIQDpRyBe7zL0pubF4li6uYMl24Zprb4tjvKjgr4KRbOOevd2C8UHVVdFJQQrvsV3v-qVku22E&page=videoMultiNeed	百度视频	WEB	5:29		2019.07.10 09:55
铁血茶城电视剧被敌人包围了很紧张	http://v.baidu.com/link?url=dm_00pw_klemzFaU2vO4w7zo2Cc1yuX_dCEHtgd-yB9KwhC-tqPQIQDpRyBe7zL0pubF4li6uYMl24Zprb4tjvKjgr4KRbOOfvt2aukLVZ5pLQQrvsV3v-qVku22E&page=videoMultiNeed	百度视频	WEB	5:32		2019.07.10 09:55
铁血茶城：敌方火力太猛，陶排长放弃粮食，为了...	http://v.baidu.com/link?url=dm_00pw_klemzFaU2vO4w7zo2Cc1yuX_dCEHtgd-yB9KwhC-tqPQIQDpKn0Cgz_gv-Lpi1WjzS5ob1IJoPZwXyuS2tuvsH5jfxJT18SLMXtxrbA..&page=videoMultiNeed	百度视频	WEB	0:24		2019.07.10 09:55
《铁血茶城》公审大会盘桂英劫囚特务中途搅局	http://baidu.pptv.com/watch/05380940363692764641.html?page=videoMultiNeed	百度视频	WEB	6:58		2019.07.10 09:55
铁血茶城电视剧全集大结局很开心	https://v.youku.com/v_show/id_XNDIxOTQ2NTU4NA==.html	百度搜索	WEB	5:24		2019.07.10 09:55
周奕彤#铁血茶城周奕彤##周奕彤龙芷文# 这段看的鼻子酸酸的	http://weibo.com/tv/v/HxxVJyVCi?fid=1034:4379952397648079	百度搜索	WEB	0:57		2019.07.10 09:55
铁血茶城	http://v.pptv.com/show/iabDfXMQqmtg7uSE.html	pptv	WEB	8:33		2019.07.10 09:55
铁血茶城剧讲述了二十世纪五十年代初共产党领导下粉碎了敌人阴谋 :铁血茶城 01	https://www.iqiyi.com/v_19rs06ke0o.html	百度搜索	WEB	45:1		2019.07.10 09:55
铁血茶城	http://www.dyxia.com/Zuixindaluju/TXCC66800/	全集网	WEB			2019.07.10 09:55
《铁血茶城》狡猾的陈癜子遇到女匪秒怂溜之大吉	http://baidu.pptv.com/watch/01157265100890976369.html?page=videoMultiNeed	百度视频	WEB	5:2		2019.07.10 09:55
铁血茶城电视剧遇到新的敌人	https://video.tudou.com/v/XNDIyNTY0NzU2OA==.html	360影视大全App	APP	5:30		2019.07.10 09:55
